Program Time [s],data 0,data 1
17.9808,1.99345e+06,2.54221e+06
18.0206,1.99347e+06,2.54224e+06
18.0611,1.99347e+06,2.54227e+06
18.1017,1.99348e+06,2.5423e+06
18.1416,1.99348e+06,2.54233e+06
18.1816,1.99348e+06,2.54234e+06
18.2216,1.99349e+06,2.54236e+06
18.2626,1.9935e+06,2.54237e+06
18.3026,1.9935e+06,2.54241e+06
18.3428,1.9935e+06,2.54242e+06
18.3826,1.99351e+06,2.54244e+06
18.4229,1.99349e+06,2.54236e+06
18.4636,1.99342e+06,2.54217e+06
18.5036,1.99338e+06,2.54207e+06
18.5436,1.99339e+06,2.5421e+06
18.5837,1.99341e+06,2.54215e+06
18.6246,1.99344e+06,2.54219e+06
18.6648,1.99343e+06,2.54223e+06
18.7046,1.99344e+06,2.54222e+06
18.7446,1.99343e+06,2.5422e+06
18.7866,1.99343e+06,2.54219e+06
18.8256,1.99344e+06,2.54221e+06
18.8656,1.99344e+06,2.54224e+06
18.9062,1.99345e+06,2.54228e+06
18.9456,1.99346e+06,2.5423e+06
18.9866,1.99347e+06,2.54234e+06
19.0268,1.99347e+06,2.54236e+06
19.0667,1.99348e+06,2.54238e+06
19.1066,1.99348e+06,2.54241e+06
19.1478,1.9935e+06,2.54243e+06
19.1876,1.9935e+06,2.54245e+06
19.2276,1.99351e+06,2.54247e+06
19.2676,1.9935e+06,2.54247e+06
19.3086,1.99348e+06,2.5424e+06
19.3486,1.99342e+06,2.54221e+06
19.3888,1.99338e+06,2.5421e+06
19.4287,1.9934e+06,2.54214e+06
19.4696,1.99341e+06,2.54218e+06
19.5096,1.99342e+06,2.54223e+06
19.5496,1.99344e+06,2.54226e+06
19.5896,1.99344e+06,2.54227e+06
19.6296,1.99343e+06,2.54225e+06
19.6706,1.99344e+06,2.54225e+06
19.7106,1.99344e+06,2.54227e+06
19.7506,1.99345e+06,2.5423e+06
19.7916,1.99346e+06,2.54234e+06
19.8316,1.99348e+06,2.54237e+06
19.8722,1.99347e+06,2.54239e+06
19.9116,1.99348e+06,2.5424e+06
19.9516,1.99348e+06,2.54242e+06
19.9916,1.99349e+06,2.54243e+06
20.0326,1.99349e+06,2.54245e+06
20.0728,1.9935e+06,2.54246e+06
20.1126,1.9935e+06,2.54248e+06
20.1526,1.99349e+06,2.54245e+06
20.1936,1.99344e+06,2.54229e+06
20.2338,1.99337e+06,2.54214e+06
20.2735,1.99338e+06,2.54212e+06
20.3136,1.9934e+06,2.54219e+06
20.3546,1.99342e+06,2.54225e+06
20.3947,1.99343e+06,2.5423e+06
20.4345,1.99344e+06,2.54231e+06
20.4746,1.99343e+06,2.54229e+06
20.5156,1.99343e+06,2.54227e+06
20.5555,1.99343e+06,2.54229e+06
20.5955,1.99344e+06,2.5423e+06
20.6355,1.99344e+06,2.54234e+06
20.6755,1.99344e+06,2.54235e+06
20.7165,1.99347e+06,2.5424e+06
20.757,1.99347e+06,2.54242e+06
20.7966,1.99347e+06,2.54244e+06
20.8365,1.99347e+06,2.54245e+06
20.8776,1.99349e+06,2.54247e+06
20.9175,1.99348e+06,2.54249e+06
20.9575,1.99348e+06,2.54247e+06
20.9976,1.99343e+06,2.54233e+06
21.0388,1.99338e+06,2.54217e+06
21.0786,1.99337e+06,2.54216e+06
21.1185,1.99339e+06,2.5422e+06
21.1586,1.99341e+06,2.54225e+06
21.1985,1.99341e+06,2.54228e+06
21.2395,1.99343e+06,2.54232e+06
21.2805,1.99342e+06,2.5423e+06
21.3195,1.99342e+06,2.54229e+06
21.3595,1.99342e+06,2.54229e+06
21.4005,1.99343e+06,2.54232e+06
21.4405,1.99343e+06,2.54235e+06
21.4805,1.99345e+06,2.54238e+06
21.5205,1.99345e+06,2.54241e+06
21.5615,1.99346e+06,2.54243e+06
21.6015,1.99346e+06,2.54246e+06
21.6415,1.99346e+06,2.54247e+06
21.6816,1.99347e+06,2.54249e+06
21.7218,1.99347e+06,2.54249e+06
21.7625,1.99348e+06,2.54251e+06
21.8025,1.99346e+06,2.54246e+06
21.8425,1.99341e+06,2.54229e+06
21.8836,1.99335e+06,2.54212e+06
21.9235,1.99334e+06,2.54211e+06
21.9634,1.99336e+06,2.54217e+06
22.0035,1.99338e+06,2.54221e+06
22.0435,1.99338e+06,2.54224e+06
22.0845,1.99339e+06,2.54226e+06
22.1245,1.99339e+06,2.54226e+06
22.1645,1.99337e+06,2.54223e+06
22.2047,1.99338e+06,2.54224e+06
22.2446,1.99339e+06,2.54227e+06
22.2855,1.9934e+06,2.54231e+06
22.3255,1.9934e+06,2.54235e+06
22.3655,1.99342e+06,2.54238e+06
22.4055,1.99342e+06,2.54241e+06
22.4466,1.99344e+06,2.54243e+06
22.4871,1.99343e+06,2.54244e+06
22.5265,1.99344e+06,2.54246e+06
22.5665,1.99345e+06,2.54248e+06
22.6075,1.99345e+06,2.54248e+06
22.6485,1.99345e+06,2.5425e+06
22.6875,1.99342e+06,2.54239e+06
22.7275,1.99334e+06,2.54219e+06
22.7674,1.9933e+06,2.54209e+06
22.8088,1.99331e+06,2.5421e+06
22.8485,1.99332e+06,2.54214e+06
22.8884,1.99335e+06,2.54222e+06
22.9286,1.99336e+06,2.54225e+06
22.9704,1.99337e+06,2.54228e+06
23.0095,1.99336e+06,2.54227e+06
23.0495,1.99336e+06,2.54228e+06
23.0895,1.99336e+06,2.5423e+06
23.1304,1.99338e+06,2.54233e+06
23.1707,1.99338e+06,2.54236e+06
23.211,1.99339e+06,2.54237e+06
23.2504,1.99339e+06,2.54238e+06
23.2908,1.9934e+06,2.5424e+06
23.3314,1.9934e+06,2.54243e+06
23.3717,1.9934e+06,2.54242e+06
23.4124,1.9934e+06,2.54245e+06
23.4514,1.99341e+06,2.54247e+06
23.4924,1.99342e+06,2.5425e+06
23.5325,1.99341e+06,2.54248e+06
