Time [s],x,y,z,flag
819.479,-0.125,-0.117188,0.5,0
819.49,-0.109375,-0.125,0.445312,0
819.5,-0.117188,-0.101562,0.453125,0
819.511,-0.125,-0.109375,0.460938,0
819.522,-0.132812,-0.101562,0.46875,0
819.532,-0.117188,-0.117188,0.476562,0
819.543,-0.125,-0.101562,0.476562,0
819.554,-0.117188,-0.101562,0.460938,0
819.564,-0.109375,-0.109375,0.46875,0
819.574,-0.078125,-0.117188,0.4375,0
819.585,-0.101562,-0.125,0.445312,0
819.595,-0.109375,-0.109375,0.460938,0
819.606,-0.109375,-0.101562,0.46875,0
819.616,-0.109375,-0.117188,0.453125,0
819.627,-0.125,-0.125,0.484375,0
819.638,-0.125,-0.117188,0.46875,0
819.648,-0.140625,-0.117188,0.46875,0
819.658,-0.132812,-0.125,0.484375,0
819.669,-0.132812,-0.125,0.460938,0
819.68,-0.125,-0.132812,0.46875,0
819.69,-0.132812,-0.117188,0.460938,0
819.7,-0.125,-0.125,0.46875,0
819.711,-0.125,-0.117188,0.460938,0
819.721,-0.125,-0.125,0.46875,0
819.732,-0.125,-0.125,0.476562,0
819.742,-0.125,-0.117188,0.484375,0
819.753,-0.125,-0.117188,0.46875,0
819.763,-0.132812,-0.117188,0.46875,0
819.774,-0.148438,-0.117188,0.484375,0
819.785,-0.132812,-0.117188,0.476562,0
819.795,-0.148438,-0.101562,0.46875,0
819.807,-0.132812,-0.09375,0.453125,0
819.816,-0.117188,-0.109375,0.445312,0
819.827,-0.117188,-0.101562,0.445312,0
819.837,-0.125,-0.09375,0.46875,0
819.848,-0.125,-0.09375,0.46875,0
819.858,-0.140625,-0.085938,0.484375,0
819.869,-0.148438,-0.078125,0.484375,0
819.879,-0.148438,-0.0625,0.46875,0
819.89,-0.148438,-0.054688,0.453125,0
819.9,-0.140625,-0.054688,0.445312,0
819.911,-0.125,-0.054688,0.46875,0
819.922,-0.132812,-0.039062,0.453125,0
819.932,-0.164062,-0.039062,0.5,0
819.943,-0.140625,-0.046875,0.421875,0
819.953,-0.140625,-0.03125,0.453125,0
819.964,-0.132812,-0.03125,0.46875,0
819.974,-0.148438,-0.046875,0.484375,0
819.984,-0.109375,-0.03125,0.429688,0
819.995,-0.132812,-0.03125,0.4375,0
820.006,-0.148438,-0.015625,0.5,0
820.016,-0.125,-0.023438,0.460938,0
820.026,-0.109375,-0.046875,0.476562,0
820.037,-0.125,-0.03125,0.515625,0
820.047,-0.132812,-0.007812,0.507812,0
820.058,-0.132812,0,0.5,0
