Program Time [s],data 0,data 1
18.8852,2.26397e+06,2.55131e+06
18.9251,2.26403e+06,2.55139e+06
18.9652,2.26404e+06,2.55138e+06
19.0051,2.26398e+06,2.55135e+06
19.0454,2.264e+06,2.55137e+06
19.0861,2.26397e+06,2.55137e+06
19.1261,2.26398e+06,2.5514e+06
19.1661,2.26406e+06,2.55149e+06
19.2061,2.26396e+06,2.55142e+06
19.2472,2.26395e+06,2.55145e+06
19.2871,2.26399e+06,2.5515e+06
19.3271,2.26399e+06,2.55151e+06
19.3672,2.26397e+06,2.55151e+06
19.4081,2.264e+06,2.55154e+06
19.4481,2.26393e+06,2.55151e+06
19.4881,2.26395e+06,2.55155e+06
19.5281,2.26402e+06,2.55161e+06
19.5681,2.26391e+06,2.55147e+06
19.6091,2.2639e+06,2.55138e+06
19.649,2.26387e+06,2.5513e+06
19.6891,2.26387e+06,2.55132e+06
19.7291,2.26387e+06,2.55135e+06
19.7701,2.26385e+06,2.55136e+06
19.8101,2.26382e+06,2.55136e+06
19.8502,2.26384e+06,2.5514e+06
19.89,2.26386e+06,2.55142e+06
19.931,2.26381e+06,2.55137e+06
19.971,2.2638e+06,2.55139e+06
20.0111,2.26382e+06,2.55142e+06
20.0511,2.26386e+06,2.55149e+06
20.091,2.26385e+06,2.55149e+06
20.132,2.26383e+06,2.5515e+06
20.172,2.26382e+06,2.55152e+06
20.212,2.26385e+06,2.55156e+06
20.2521,2.26384e+06,2.55156e+06
20.2931,2.26384e+06,2.55158e+06
20.3331,2.26391e+06,2.55165e+06
20.3732,2.26386e+06,2.55162e+06
20.413,2.26386e+06,2.55165e+06
20.453,2.26394e+06,2.55172e+06
20.494,2.26399e+06,2.55175e+06
20.534,2.26391e+06,2.55162e+06
20.574,2.26394e+06,2.55153e+06
20.614,2.26394e+06,2.55145e+06
20.655,2.26394e+06,2.55145e+06
20.695,2.26395e+06,2.55148e+06
20.7351,2.2639e+06,2.55145e+06
20.775,2.26378e+06,2.55139e+06
20.816,2.26381e+06,2.55143e+06
20.8561,2.26378e+06,2.55141e+06
20.8961,2.26372e+06,2.55137e+06
20.936,2.26374e+06,2.5514e+06
20.976,2.26371e+06,2.55141e+06
21.0171,2.26383e+06,2.55152e+06
21.0574,2.26382e+06,2.55152e+06
21.0971,2.26382e+06,2.55154e+06
21.137,2.26381e+06,2.55156e+06
21.178,2.26384e+06,2.55158e+06
21.2181,2.26387e+06,2.55162e+06
21.2581,2.26389e+06,2.55164e+06
21.2983,2.26387e+06,2.55163e+06
21.3383,2.26373e+06,2.55154e+06
21.379,2.26379e+06,2.55162e+06
21.419,2.26376e+06,2.55162e+06
21.4596,2.26372e+06,2.55161e+06
21.4991,2.26372e+06,2.55158e+06
21.5403,2.26371e+06,2.55145e+06
21.58,2.26367e+06,2.55137e+06
21.62,2.26364e+06,2.55136e+06
21.6604,2.26362e+06,2.5514e+06
21.7,2.26367e+06,2.55145e+06
21.741,2.26364e+06,2.55146e+06
21.781,2.26365e+06,2.55147e+06
21.821,2.26367e+06,2.55149e+06
21.8613,2.26365e+06,2.55147e+06
21.9021,2.26364e+06,2.55147e+06
21.942,2.26368e+06,2.55153e+06
21.9834,2.26372e+06,2.55157e+06
22.022,2.2637e+06,2.55156e+06
22.0633,2.26368e+06,2.55155e+06
22.103,2.26362e+06,2.55154e+06
22.143,2.2636e+06,2.55154e+06
22.1832,2.26362e+06,2.55158e+06
22.223,2.26358e+06,2.55156e+06
22.2641,2.26358e+06,2.55159e+06
22.304,2.26355e+06,2.55158e+06
22.344,2.26356e+06,2.55162e+06
22.384,2.26356e+06,2.55163e+06
22.426,2.26352e+06,2.55154e+06
22.465,2.26348e+06,2.55142e+06
22.5049,2.26349e+06,2.55139e+06
22.545,2.2635e+06,2.55142e+06
22.585,2.26349e+06,2.55144e+06
22.626,2.26337e+06,2.55137e+06
22.666,2.2634e+06,2.55144e+06
22.7059,2.26345e+06,2.55148e+06
22.747,2.26344e+06,2.55146e+06
22.7869,2.26351e+06,2.55149e+06
22.827,2.2636e+06,2.5515e+06
22.867,2.26353e+06,2.55139e+06
22.9069,2.26316e+06,2.55109e+06
22.9479,2.2625e+06,2.55052e+06
22.9879,2.26166e+06,2.54966e+06
23.0279,2.26027e+06,2.54819e+06
23.0679,2.25872e+06,2.54649e+06
23.1079,2.25799e+06,2.54534e+06
23.1489,2.25726e+06,2.54408e+06
23.1889,2.25593e+06,2.54191e+06
23.2291,2.25546e+06,2.54068e+06
23.2689,2.25489e+06,2.53948e+06
23.31,2.25225e+06,2.53566e+06
23.35,2.24835e+06,2.53006e+06
23.39,1.98177e+06,2.26116e+06
23.4302,1.97768e+06,2.25524e+06
23.4709,1.97476e+06,2.25087e+06
23.511,1.97288e+06,2.24802e+06
23.551,1.97273e+06,2.24775e+06
23.591,1.97501e+06,2.25091e+06
23.6312,1.9789e+06,2.25612e+06
23.6719,1.98327e+06,2.26201e+06
23.712,1.9867e+06,2.26683e+06
23.7521,1.98876e+06,2.26998e+06
23.7919,1.9902e+06,2.27246e+06
23.833,1.99116e+06,2.27428e+06
23.8729,1.99181e+06,2.27569e+06
23.9129,1.9925e+06,2.53924e+06
23.953,1.99299e+06,2.5402e+06
23.993,1.99326e+06,2.54089e+06
24.034,1.99355e+06,2.54143e+06
24.0745,1.99365e+06,2.54171e+06
24.1144,1.9936e+06,2.54177e+06
24.1539,1.99353e+06,2.5418e+06
24.1949,1.99351e+06,2.54183e+06
24.235,1.99354e+06,2.54193e+06
24.275,1.99358e+06,2.542e+06
24.315,1.99366e+06,2.54208e+06
24.3549,1.99375e+06,2.54211e+06
24.3962,1.99446e+06,2.54272e+06
24.4359,1.99548e+06,2.54365e+06
24.4764,1.99612e+06,2.54421e+06
24.5159,1.99696e+06,2.54496e+06
24.557,1.99756e+06,2.54556e+06
24.5969,2.26059e+06,2.54634e+06
24.637,2.26128e+06,2.54717e+06
24.678,2.26216e+06,2.54786e+06
24.7179,2.26289e+06,2.54852e+06
24.7579,2.2632e+06,2.54914e+06
24.798,2.26372e+06,2.55019e+06
24.838,2.26427e+06,2.55093e+06
24.8782,2.26449e+06,2.55129e+06
24.9189,2.26463e+06,2.55164e+06
24.9589,2.26482e+06,2.55211e+06
24.999,2.26486e+06,2.55221e+06
25.0394,2.2649e+06,2.55209e+06
25.0798,2.2649e+06,2.55183e+06
25.1198,2.26505e+06,2.55156e+06
25.1598,2.26497e+06,2.55109e+06
25.2001,2.26484e+06,2.55081e+06
